"IndividualId","Time [min]","Organism|Lung|Interstitial|Raltegravir|Concentration [µmol/l]"
8,585,0.3178989
8,600,0.3013598
8,615,0.2861207
8,630,0.2720695
8,645,0.259104
8,660,0.2471317
8,675,0.2360681
8,690,0.225836
8,705,0.2163653
8,720,0.2075917
8,735,0.1994565
8,750,0.191906
8,765,0.1848912
8,780,0.178367
8,795,0.1722922
8,810,0.1666292
8,825,0.1613433
8,840,0.1564028
8,855,0.1517787
8,870,0.1474444
8,885,0.1433755
8,900,0.1395496
8,915,0.1359463
8,930,0.1325468
8,945,0.1293339
8,960,0.126292
8,975,0.1234067
8,990,0.1206649
8,1005,0.1180546
8,1020,0.1155648
8,1035,0.1131856
8,1050,0.1109077
8,1065,0.108723
8,1080,0.1066239
8,1095,0.1046034
8,1110,0.1026553
8,1125,0.1007739
8,1140,0.09895412
8,1155,0.09719115
8,1170,0.09548078
8,1185,0.09381917
8,1200,0.09220283
8,1215,0.09062859
8,1230,0.08909362
8,1245,0.08759533
8,1260,0.0861314
8,1275,0.08469974
8,1290,0.08329844
8,1305,0.08192581
8,1320,0.08058032
8,1335,0.07926057
8,1350,0.07796534
8,1365,0.07669349
8,1380,0.07544401
8,1395,0.07421601
8,1410,0.07300866
8,1425,0.07182122
8,1440,0.07065303
9,0,0
9,3,0.09660436
9,6,0.5187054
9,9,1.190907
9,12,2.04788
9,15,3.007311
9,18,3.980384
9,21,4.892675
9,24,5.692621
9,27,6.351414
9,30,6.859239
9,33,7.220385
9,36,7.448331
9,39,7.561469
9,42,7.579837
9,45,7.522951
9,48,7.408497
9,51,7.251634
9,54,7.064849
9,57,6.85811
9,60,6.639189
9,63,6.414026
9,66,6.187079
9,69,5.961639
9,72,5.740089
9,75,5.524111
9,78,5.314845
9,81,5.113016
9,84,4.919048
9,87,4.733138
9,90,4.555312
9,93,4.385463
9,96,4.223397
9,99,4.068862
9,102,3.921565
9,105,3.781191
9,108,3.647416
9,111,3.519907
9,114,3.398333
9,117,3.282372
9,120,3.171714
9,135,2.688131
9,150,2.299
9,165,1.9814
9,180,1.719
9,195,1.500046
9,210,1.315875
9,225,1.159941
9,240,1.027175
9,255,0.9135776
9,270,0.8159392
9,285,0.7316612
9,300,0.6586227
9,315,0.5950788
9,330,0.5395877
9,345,0.4909548
9,360,0.4481852
9,375,0.4104487
9,390,0.3770499
9,405,0.3474044
9,420,0.3210198
9,435,0.2974792
9,450,0.2764287
9,465,0.2575664
9,480,0.2406244
9,495,0.2253661
9,510,0.211606
9,525,0.1991799
9,540,0.1879442
9,555,0.1777719
9,570,0.1685529
9,585,0.1601902
9,600,0.1525974
9,615,0.1456976
9,630,0.1394225
9,645,0.1337109
9,660,0.1285079
9,675,0.1237642
9,690,0.1194354
9,705,0.1154813
9,720,0.1118658
9,735,0.1085559
9,750,0.1055217
9,765,0.1027363
9,780,0.1001751
9,795,0.09781566
9,810,0.0956377
9,825,0.09362274
9,840,0.091754
9,855,0.09001622
9,870,0.08839559
9,885,0.08687949
9,900,0.08545654
9,915,0.08411638
9,930,0.0828497
9,945,0.08164805
9,960,0.08050384
9,975,0.0794102
9,990,0.07836098
9,1005,0.07735065
9,1020,0.07637428
9,1035,0.07542747
9,1050,0.07450626
9,1065,0.07360722
9,1080,0.07272726
9,1095,0.07186367
9,1110,0.0710141
9,1125,0.07017647
9,1140,0.06934899
9,1155,0.06853011
9,1170,0.06771851
9,1185,0.06691308
9,1200,0.06611286
9,1215,0.0653171
9,1230,0.06452515
9,1245,0.06373651
9,1260,0.06295078
9,1275,0.06216769
9,1290,0.06138702
9,1305,0.06060865
9,1320,0.05983253
9,1335,0.05905864
9,1350,0.05828705
9,1365,0.05751785
9,1380,0.05675115
9,1395,0.05598713
9,1410,0.05522595
9,1425,0.05446782
9,1440,0.05371294
